"codigo_dane","mat","soc","fil","bio","qui","fis","ing","len","total.evaluados","nombre_col","lon","lat","tipo"
"111265000394",46,46,40,47,47,47,43,48,145,"COLEGIO DISTRITAL SIMON BOLIVAR",-74.0951194869999,4.70866133684549,"oficial"
"111265000408",46,46,42,47,47,44,43,50,208,"COLEGIO NACIONAL NIDIA QUINTERO DE TURBAY",-74.1052650649999,4.69981249484576,"oficial"
"111279000061",47,47,41,47,48,47,45,49,125,"INSTITUCION EDUCATIVA DISTRITAL ANTONIO VAN UDEN LA ESTACION SAN VICENTE",-74.1615841879999,4.692374630846,"oficial"
"111279000125",47,46,41,47,47,47,47,50,201,"INSTITUCION EDUCATIVA DISTRITAL VILLEMAR EL CARMEN",-74.1205827249999,4.67212554084667,"oficial"
"111279000168",46,45,41,47,48,47,43,48,175,"CENTRO EDUCATIVO DISTRITAL INSTITUTO TECNICO INTERNACIONAL",-74.1452769829999,4.68730350284617,"oficial"
"111279000184",47,46,41,47,48,50,50,50,75,"INSTITUCION EDUCATIVA DISTRITAL LUIS ANGEL ARANGO",-74.1389253679999,4.68419382884624,"oficial"
"111279000362",43,44,41,46,45,44,43,48,316,"INSTITUCION EDUCATIVA DISTRITAL  COSTA RICA",-74.1269519089999,4.68216864284634,"oficial"
"111279000966",43,43,40,44,41,43,42,46,225,"INSTITUCION EDUCATIVA DISTRITAL INTEGRADO DE FONTIBON",-74.1531152249999,4.68273862484632,"oficial"
"111279001296",46,44,40.5,45,46,47,43,47,84,"COLEGIO ATAHUALPA INSTITUCION EDUCATIVA DISTRITAL",-74.1483311889999,4.68804476584616,"oficial"
"111769000174",43,43,38,44,43,41,42,47,167,"INSTITUCION EDUCATIVA DISTRITAL SIMON BOLIVAR",-74.0845658709999,4.7412385068444,"oficial"
"111769000247",46,44,40,45,45,47,43,48,175,"INSTITUCION EDUCATIVA DISTRITAL EL SALITRE-SUBA",-74.0765087809999,4.75937075384385,"oficial"
"111769000956",46,46,41,46,45,46,43,50,141,"COLEGIO PRADO VERANIEGO INSTITUCION EDUCATIVA DISTRITAL",-74.0568987709999,4.71883549284516,"oficial"
"111769001502",47,48,43,47,48,47,45,50,142,"COLEGIO DISTRITAL ANIBAL FERNANDEZ DE SOTO",-74.0544649719999,4.72685312584485,"oficial"
"111769001871",46,49,43,47,47,50,46,52,69,"COLEGIO NUEVA ZELANDIA INSTITUCION EDUCATIVA DISTRITAL",-74.0614790459999,4.76237000284372,"oficial"
"111769003114",46,47,40.5,46,45.5,47,43,48,118,"INSTITUCION EDUCATIVA DISTRITAL VISTA BELLA",-74.0481815459999,4.74987561884415,"oficial"
"111769003122",46,45,40,45,45,44,43,48,99,"COLEGIO VILLA ELISA I. E. D",-74.0886120819999,4.73426045384467,"oficial"
"111769003360",46,46,41,46,47,47,43,50,224,"COLEGIO REPUBLICA DOMINICANA  I. E. D.",-74.1087312899999,4.73874560284447,"oficial"
"111769003416",43,44,40,45,43,44,43,47,304,"INSTITUCION EDUCATIVA DISTRITAL JUAN LOZANO Y LOZANO",-74.0842598129999,4.7383458578445,"oficial"
"111769003424",41,43,40,44,43,44,43,46,237,"INSTITUCION EDUCATIVA DISTRITAL GERARDO PAREDES LA FRONTERA SAN CAYETANO",-74.0928031169999,4.71868587984515,"oficial"
"111848002662",49,48,42,47,47,47,43,50,155,"CENTRO EDUCATIVO DISTRITAL USAQUEN",-74.0346646699999,4.70561640384558,"oficial"
"111848002689",46,44,40,45,46,44,43,48,115,"COLEGIO DIVINO MAESTRO I.E.D.",-74.0237928079999,4.73891569684446,"oficial"
"111848003031",43,44,40,44,43,44,43,47,233,"COLEGIO DISTRITAL CRISTOBAL COLON",-74.0211889009999,4.73883384984448,"oficial"
"111848003910",44,47,42,46,45,46.5,43,50,66,"COLEGIO DISTRITAL GENERAL SANTANDER",-74.0282355009999,4.7349934068446,"oficial"
"111850000740",44,47,42,47,47,47,43,50,91,"COLEGIO FRANCISCO ANTONIO ZEA DE USME I.E.D.",-74.1210511169999,4.47334741185314,"oficial"
